        63       347
      1      1   1.00000E+00
      1      2   0.00000E+00
      1      4   0.00000E+00
      1      5   0.00000E+00
      2      1   0.00000E+00
      2      2   1.00000E+00
      2      3   0.00000E+00
      2      5   0.00000E+00
      2      6   0.00000E+00
      3      2   0.00000E+00
      3      3   1.00000E+00
      3      6   0.00000E+00
      4      1   0.00000E+00
      4      4   2.00000E+00
      4      5  -1.00000E+00
      4      7  -5.00000E-01
      4      8   0.00000E+00
      5      1   0.00000E+00
      5      2   0.00000E+00
      5      4  -1.00000E+00
      5      5   4.00000E+00
      5      6  -1.00000E+00
      5      8  -1.00000E+00
      5      9   0.00000E+00
      6      2   0.00000E+00
      6      3   0.00000E+00
      6      5  -1.00000E+00
      6      6   2.00000E+00
      6      9  -5.00000E-01
      7      4  -5.00000E-01
      7      7   2.00000E+00
      7      8  -1.00000E+00
      7     10  -5.00000E-01
      7     11   0.00000E+00
      8      4   0.00000E+00
      8      5  -1.00000E+00
      8      7  -1.00000E+00
      8      8   4.00000E+00
      8      9  -1.00000E+00
      8     11  -1.00000E+00
      8     12   0.00000E+00
      9      5   0.00000E+00
      9      6  -5.00000E-01
      9      8  -1.00000E+00
      9      9   2.00000E+00
      9     12  -5.00000E-01
     10      7  -5.00000E-01
     10     10   2.00000E+00
     10     11  -1.00000E+00
     10     13  -5.00000E-01
     10     14   0.00000E+00
     11      7   0.00000E+00
     11      8  -1.00000E+00
     11     10  -1.00000E+00
     11     11   4.00000E+00
     11     12  -1.00000E+00
     11     14  -1.00000E+00
     11     15   0.00000E+00
     12      8   0.00000E+00
     12      9  -5.00000E-01
     12     11  -1.00000E+00
     12     12   2.00000E+00
     12     15  -5.00000E-01
     13     10  -5.00000E-01
     13     13   2.00000E+00
     13     14  -1.00000E+00
     13     16  -5.00000E-01
     13     17   0.00000E+00
     14     10   0.00000E+00
     14     11  -1.00000E+00
     14     13  -1.00000E+00
     14     14   4.00000E+00
     14     15  -1.00000E+00
     14     17  -1.00000E+00
     14     18   0.00000E+00
     15     11   0.00000E+00
     15     12  -5.00000E-01
     15     14  -1.00000E+00
     15     15   2.00000E+00
     15     18  -5.00000E-01
     16     13  -5.00000E-01
     16     16   2.00000E+00
     16     17  -1.00000E+00
     16     19  -5.00000E-01
     16     20   0.00000E+00
     17     13   0.00000E+00
     17     14  -1.00000E+00
     17     16  -1.00000E+00
     17     17   4.00000E+00
     17     18  -1.00000E+00
     17     20  -1.00000E+00
     17     21   0.00000E+00
     18     14   0.00000E+00
     18     15  -5.00000E-01
     18     17  -1.00000E+00
     18     18   2.00000E+00
     18     21  -5.00000E-01
     19     16  -5.00000E-01
     19     19   2.00000E+00
     19     20  -1.00000E+00
     19     22  -5.00000E-01
     19     23   0.00000E+00
     20     16   0.00000E+00
     20     17  -1.00000E+00
     20     19  -1.00000E+00
     20     20   4.00000E+00
     20     21  -1.00000E+00
     20     23  -1.00000E+00
     20     24   0.00000E+00
     21     17   0.00000E+00
     21     18  -5.00000E-01
     21     20  -1.00000E+00
     21     21   2.00000E+00
     21     24  -5.00000E-01
     22     19  -5.00000E-01
     22     22   2.00000E+00
     22     23  -1.00000E+00
     22     25  -5.00000E-01
     22     26   0.00000E+00
     23     19   0.00000E+00
     23     20  -1.00000E+00
     23     22  -1.00000E+00
     23     23   4.00000E+00
     23     24  -1.00000E+00
     23     26  -1.00000E+00
     23     27   0.00000E+00
     24     20   0.00000E+00
     24     21  -5.00000E-01
     24     23  -1.00000E+00
     24     24   2.00000E+00
     24     27  -5.00000E-01
     25     22  -5.00000E-01
     25     25   2.00000E+00
     25     26  -1.00000E+00
     25     28  -5.00000E-01
     25     29   0.00000E+00
     26     22   0.00000E+00
     26     23  -1.00000E+00
     26     25  -1.00000E+00
     26     26   4.00000E+00
     26     27  -1.00000E+00
     26     29  -1.00000E+00
     26     30   0.00000E+00
     27     23   0.00000E+00
     27     24  -5.00000E-01
     27     26  -1.00000E+00
     27     27   2.00000E+00
     27     30  -5.00000E-01
     28     25  -5.00000E-01
